Timestep,Buffer Items
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,6
9,5
10,4
11,3
12,2
13,1
14,0
15,1
16,2
17,1
18,2
19,1
20,2
21,3
22,4
23,5
24,4
25,3
26,2
27,1
28,0
29,1
30,2
31,1
32,2
33,3
34,4
35,3
36,2
37,3
38,4
39,3
40,2
41,1
42,0
43,1
44,2
45,1
46,0
47,1
48,2
49,3
50,2
51,1
52,2
53,3
54,2
55,1
56,0
57,1
58,0
59,1
60,0
61,1
62,2
63,1
64,0
65,1
66,2
67,1
68,0
69,1
70,0
71,1
72,2
73,1
74,0
75,1
76,2
77,1
78,0
79,1
80,2
81,1
82,0
83,1
84,0
85,1
86,2
87,1
88,0
89,1
90,0
91,1
92,0
93,1
94,2
95,1
96,0
97,1
98,0
99,1
100,0
101,1
102,0
103,1
104,2
105,1
106,0
107,1
108,2
109,1
110,0
111,1
112,0
113,1
114,2
115,1
116,2
117,1
118,2
119,1
120,0
121,1
122,2
123,1
124,2
125,1
126,0
127,1
128,0
129,1
130,0
131,1
132,2
133,1
134,0
135,1
136,2
137,1
138,0
139,1
140,0
141,1
142,0
143,1
144,0
145,1
146,0
147,1
148,0
149,1
150,0
151,1
152,0
153,1
154,0
155,1
156,0
157,1
158,0
159,1
160,0
161,1
162,2
163,1
164,0
165,1
166,2
167,1
168,0
169,1
170,0
171,1
172,0
173,1
174,0
175,1
176,2
177,1
178,0
179,1
180,2
181,1
182,0
183,1
184,0
185,1
186,0
187,1
188,0
189,1
190,2
191,1
192,0
193,1
194,2
195,1
196,0
197,1
198,0
199,1
200,2
201,1
202,0
203,1
204,2
205,1
206,0
207,1
208,2
209,1
210,0
211,1
212,0
213,1
214,0
215,1
216,0
217,1
218,0
219,1
220,0
221,1
222,0
223,1
224,0
225,1
226,2
227,1
228,0
229,1
230,0
231,1
232,0
233,1
234,2
235,1
236,0
237,1
238,0
239,1
240,0
241,1
242,0
243,1
244,0
245,1
246,2
247,1
248,2
249,1
250,2
251,1
252,0
253,1
254,0
255,1
256,2
257,1
258,0
259,1
260,2
261,1
262,0
263,1
264,0
265,1
266,0
267,1
268,0
269,1
270,2
271,1
272,0
273,1
274,2
275,1
276,0
277,1
278,0
279,1
280,0
281,1
282,2
283,1
284,0
285,1
286,2
287,1
288,0
289,1
290,2
291,1
292,0
293,1
294,0
295,1
296,0
297,1
298,0
299,1
300,2
301,1
302,0
303,1
304,2
305,1
306,0
307,1
308,0
309,1
310,0
311,1
312,0
313,1
314,2
315,1
316,0
317,1
318,0
319,1
320,2
321,1
322,0
323,1
324,0
325,1
326,0
327,1
328,0
329,1
330,0
331,1
332,0
333,1
334,2
335,1
336,0
337,1
338,0
339,1
340,0
341,1
342,0
343,1
344,0
345,1
346,0
347,1
348,0
349,1
350,0
351,1
352,0
353,1
354,0
355,1
356,0
357,1
358,0
359,1
360,0
361,1
362,0
363,1
364,0
365,1
366,2
367,1
368,2
369,1
370,0
371,1
372,0
373,1
374,0
375,1
376,2
377,1
378,0
379,1
380,0
381,1
382,0
383,1
384,0
385,1
386,0
387,1
388,0
389,1
390,2
391,1
392,0
393,1
394,0
395,1
396,2
397,1
398,2
399,1
400,0
401,1
402,0
403,1
404,2
405,1
406,0
407,1
408,0
409,1
410,2
411,3
412,2
413,1
414,2
415,1
416,0
417,1
418,2
419,1
420,0
421,1
422,0
423,1
424,0
425,1
426,0
427,1
428,0
429,1
430,0
431,1
432,0
433,1
434,0
435,1
436,0
437,1
438,0
439,1
440,0
441,1
442,2
443,1
444,0
445,1
446,2
447,1
448,0
449,1
450,0
451,1
452,0
453,1
454,0
455,1
456,0
457,1
458,0
459,1
460,0
461,1
462,0
463,1
464,0
465,1
466,0
467,1
468,0
469,1
470,2
471,1
472,2
473,1
474,2
475,1
476,0
477,1
478,0
479,1
480,0
481,1
482,0
483,1
484,2
485,1
486,2
487,1
488,2
489,1
490,0
491,1
492,0
493,1
494,0
495,1
496,0
497,1
498,2
499,1
500,0
501,1
502,2
503,1
504,0
505,1
506,0
507,1
508,0
509,1
510,0
511,1
512,2
513,1
514,0
515,1
516,2
517,1
518,0
519,1
520,0
521,1
522,0
523,1
524,0
525,1
526,2
527,1
528,0
529,1
530,2
531,1
532,0
533,1
534,2
535,1
536,0
537,1
538,0
539,1
540,2
541,1
542,2
543,1
544,2
545,1
546,0
547,1
548,0
549,1
550,0
551,1
552,0
553,1
554,0
555,1
556,2
557,1
558,0
559,1
560,0
561,1
562,0
563,1
